{'model_type': 'AlexNet', 'dataset_type': 'CIFAR10', 'batch_size': 64, 'data_pattern': 3, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 2251584}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.34 2493.00 4537.00 0.1005 2.3035
2 27.27 80884.00 79488.00 0.1000 2.4831
3 52.32 159451.00 154565.00 0.1042 2.4557
4 77.10 237884.00 229523.00 0.1106 2.4271
5 102.04 316333.00 304502.00 0.1408 2.3685
6 127.01 394778.00 379462.00 0.2001 2.3162
7 152.17 473213.00 454434.00 0.2024 2.2545
8 177.12 551655.00 529414.00 0.1904 2.1881
9 202.36 630103.00 604386.00 0.1793 2.2515
10 227.40 708540.00 679363.00 0.2358 2.0084
11 252.63 786988.00 754335.00 0.2194 2.0972
12 277.68 865433.00 829295.00 0.2446 1.9611
13 302.79 943842.00 904281.00 0.2361 1.9822
14 327.83 1022260.00 979257.00 0.2523 1.8983
15 352.90 1100708.00 1054279.00 0.2617 1.9752
16 377.94 1179137.00 1129250.00 0.2682 1.8520
17 403.04 1257563.00 1204241.00 0.3009 1.7702
18 428.11 1335997.00 1279206.00 0.2937 1.7744
19 453.25 1414469.00 1354214.00 0.2951 1.8016
20 478.20 1492890.00 1429170.00 0.3274 1.7445
21 503.78 1571313.00 1504140.00 0.3299 1.7275
22 528.85 1649729.00 1579102.00 0.3434 1.6932
23 554.05 1728188.00 1654192.00 0.3001 1.8222
24 579.12 1806658.00 1729186.00 0.3132 1.8046
25 604.30 1885116.00 1804187.00 0.3406 1.6943
26 629.35 1963560.00 1879222.00 0.3386 1.6947
27 654.60 2042013.00 1954229.00 0.3806 1.6034
28 679.62 2120446.00 2029187.00 0.3592 1.6376
29 704.86 2198882.00 2104157.00 0.4191 1.5184
30 729.91 2277319.00 2179184.00 0.4021 1.5307
31 755.18 2355752.00 2254174.00 0.3156 1.8410
32 780.19 2434185.00 2329214.00 0.3625 1.6718
33 805.34 2512593.00 2404193.00 0.3869 1.5678
34 830.40 2591003.00 2479154.00 0.3967 1.5501
35 855.70 2669434.00 2554148.00 0.4180 1.5067
36 880.83 2747882.00 2629170.00 0.4052 1.5149
37 906.07 2826338.00 2704248.00 0.4474 1.4753
38 930.99 2904804.00 2779396.00 0.4489 1.4539
39 956.30 2983163.00 2854410.00 0.4655 1.4228
40 981.22 3061561.00 2929410.00 0.4893 1.3719
41 1006.36 3139963.00 3004397.00 0.4796 1.3823
42 1031.40 3218401.00 3079390.00 0.4493 1.4544
43 1056.54 3296800.00 3154365.00 0.4499 1.4793
44 1081.57 3375155.00 3229328.00 0.5018 1.3347
45 1106.81 3453570.00 3304365.00 0.4936 1.3573
46 1131.86 3531988.00 3379341.00 0.4936 1.3674
47 1157.06 3610382.00 3454313.00 0.4637 1.4042
48 1182.14 3688786.00 3529273.00 0.5027 1.3385
49 1207.47 3767204.00 3604249.00 0.4899 1.3716
50 1232.67 3845624.00 3679207.00 0.5205 1.2854
51 1257.98 3924054.00 3754185.00 0.4974 1.3653
52 1283.12 4002470.00 3829147.00 0.5148 1.3015
53 1308.42 4080887.00 3904148.00 0.5090 1.3215
54 1333.39 4159273.00 3979091.00 0.5159 1.2905
55 1358.68 4237641.00 4054045.00 0.5375 1.2745
56 1383.78 4316015.00 4129000.00 0.5302 1.2697
57 1409.03 4394438.00 4203970.00 0.5537 1.2148
58 1434.12 4472874.00 4278940.00 0.5422 1.2544
59 1459.35 4551272.00 4353899.00 0.5280 1.2732
60 1484.39 4629707.00 4428871.00 0.5465 1.2571
61 1509.60 4708124.00 4503913.00 0.5415 1.2526
62 1534.60 4786588.00 4579006.00 0.5851 1.1573
63 1559.74 4865054.00 4654027.00 0.5696 1.1791
64 1584.72 4943521.00 4729114.00 0.5509 1.2271
65 1609.99 5021864.00 4804066.00 0.5765 1.1612
66 1634.96 5100263.00 4879082.00 0.5992 1.1001
67 1660.17 5178660.00 4954043.00 0.6005 1.1135
68 1685.15 5257043.00 5028997.00 0.6018 1.0954
69 1710.34 5335486.00 5103975.00 0.5979 1.1045
70 1735.50 5413917.00 5179001.00 0.5845 1.1540
71 1760.69 5492369.00 5254010.00 0.5993 1.1154
72 1785.50 5570810.00 5329024.00 0.6058 1.1012
73 1810.89 5649245.00 5404110.00 0.5969 1.1251
74 1835.98 5727693.00 5479173.00 0.6225 1.0447
75 1861.11 5806148.00 5554203.00 0.6089 1.0758
76 1886.12 5884597.00 5629232.00 0.6352 1.0240
77 1911.30 5963041.00 5704226.00 0.6446 1.0001
78 1936.11 6041438.00 5779178.00 0.5022 1.4815
79 1961.31 6119852.00 5854158.00 0.6296 1.0282
80 1986.63 6198244.00 5929171.00 0.5995 1.1069
81 2011.66 6276670.00 6004162.00 0.6459 0.9923
82 2036.82 6355031.00 6079140.00 0.5980 1.1334
83 2061.86 6433440.00 6154144.00 0.6423 1.0064
84 2087.05 6511867.00 6229265.00 0.6009 1.1423
85 2111.94 6590260.00 6304271.00 0.6476 1.0055
86 2137.14 6668694.00 6379236.00 0.6500 0.9830
87 2162.11 6747097.00 6454189.00 0.6497 0.9889
88 2187.24 6825513.00 6529151.00 0.6626 0.9553
89 2212.21 6903943.00 6604120.00 0.6724 0.9266
90 2237.50 6982350.00 6679101.00 0.6573 0.9650
91 2262.58 7060678.00 6754034.00 0.6631 0.9629
92 2287.70 7139064.00 6828991.00 0.6767 0.9238
93 2312.81 7217494.00 6903969.00 0.6686 0.9357
94 2338.03 7295918.00 6978946.00 0.6605 0.9517
95 2362.92 7374342.00 7053955.00 0.6655 0.9449
96 2387.99 7452767.00 7128939.00 0.6233 1.0439
97 2413.02 7531150.00 7203916.00 0.6928 0.8733
98 2438.22 7609574.00 7278925.00 0.6720 0.9350
99 2463.22 7687961.00 7353889.00 0.6827 0.9088
100 2488.46 7766227.00 7428798.00 0.6806 0.9090
101 2513.44 7844643.00 7503760.00 0.6924 0.8863
102 2538.82 7923016.00 7578708.00 0.6951 0.8797
103 2563.81 8001417.00 7653688.00 0.7020 0.8510
104 2589.30 8079793.00 7728657.00 0.6041 1.1292
105 2614.43 8158050.00 7803562.00 0.6925 0.8692
106 2639.79 8236388.00 7878520.00 0.6751 0.9206
107 2664.86 8314826.00 7953504.00 0.7003 0.8725
108 2690.17 8393209.00 8028481.00 0.6739 0.9281
109 2715.10 8471597.00 8103534.00 0.7064 0.8421
110 2740.27 8549986.00 8178530.00 0.6828 0.9028
111 2765.26 8628445.00 8253620.00 0.6904 0.8861
112 2790.60 8706857.00 8328636.00 0.1000 nan
113 2815.95 8785126.00 8403543.00 0.1000 nan
114 2842.01 8863470.00 8478488.00 0.1000 nan
115 2867.98 8941790.00 8553443.00 0.1000 nan
116 2894.18 9020211.00 8628458.00 0.1000 nan
117 2919.99 9098572.00 8703413.00 0.1000 nan
118 2946.01 9176976.00 8778414.00 0.1000 nan
119 2971.82 9255276.00 8853324.00 0.1000 nan
120 2997.90 9333663.00 8928297.00 0.1000 nan
121 3023.81 9412105.00 9003277.00 0.1000 nan
122 3049.87 9490455.00 9078228.00 0.1000 nan
123 3075.72 9568788.00 9153146.00 0.1000 nan
124 3101.79 9647213.00 9228130.00 0.1000 nan
125 3127.87 9725669.00 9303208.00 0.1000 nan
126 3154.12 9804109.00 9378215.00 0.1000 nan
127 3179.98 9882542.00 9453214.00 0.1000 nan
128 3206.05 9960973.00 9528190.00 0.1000 nan
129 3231.86 10039335.00 9603147.00 0.1000 nan
130 3257.84 10117743.00 9678135.00 0.1000 nan
131 3283.88 10196174.00 9753152.00 0.1000 nan
132 3309.73 10274594.00 9828142.00 0.1000 nan
133 3335.62 10352947.00 9903091.00 0.1000 nan
134 3361.80 10431363.00 9978053.00 0.1000 nan
135 3387.76 10509763.00 10053017.00 0.1000 nan
136 3413.91 10588169.00 10127991.00 0.1000 nan
137 3439.89 10666588.00 10202942.00 0.1000 nan
138 3466.03 10744971.00 10277896.00 0.1000 nan
139 3491.96 10823359.00 10352844.00 0.1000 nan
140 3518.06 10901807.00 10427857.00 0.1000 nan
141 3543.94 10980238.00 10502874.00 0.1000 nan
142 3569.91 11058515.00 10577787.00 0.1000 nan
143 3595.74 11136795.00 10652698.00 0.1000 nan
144 3621.88 11215187.00 10727656.00 0.1000 nan
145 3647.75 11293566.00 10802605.00 0.1000 nan
146 3673.74 11371981.00 10877560.00 0.1000 nan
147 3699.53 11450366.00 10952510.00 0.1000 nan
148 3725.47 11528776.00 11027471.00 0.1000 nan
149 3751.33 11607149.00 11102405.00 0.1000 nan
