{'model_type': 'CNN', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 7.36 2488.00 4557.00 0.0000 5.4603
2 33.19 81884.00 80565.00 0.0000 5.3605
3 59.50 161117.00 156327.00 0.0000 5.2626
4 85.32 240483.00 232307.00 0.0000 5.8468
5 111.00 319834.00 308296.00 0.0001 5.6026
6 136.54 399209.00 384294.00 0.0001 6.1579
7 162.53 478486.00 460202.00 0.0019 6.0060
8 188.29 557984.00 536227.00 0.0200 5.9048
9 213.99 637345.00 612195.00 0.0034 6.3291
10 239.75 716603.00 688111.00 0.0004 6.6489
11 266.02 796145.00 764245.00 0.0188 6.4846
12 291.63 875541.00 840285.00 0.0218 7.1070
13 317.29 954937.00 916298.00 0.0000 6.9107
14 343.11 1034255.00 992229.00 0.0047 7.1331
15 368.64 1113565.00 1068186.00 0.0262 6.9008
16 394.80 1192464.00 1143754.00 0.0123 7.1153
17 420.48 1271466.00 1219406.00 0.0021 7.5522
18 446.02 1350959.00 1295474.00 0.0023 7.5638
19 471.74 1430349.00 1371563.00 0.0084 7.2118
20 497.73 1509994.00 1447716.00 0.0085 7.4124
21 524.35 1589340.00 1523656.00 0.0136 7.1374
22 550.37 1668699.00 1599651.00 0.0036 7.5164
23 576.21 1748035.00 1675640.00 0.0163 7.1820
24 602.19 1827538.00 1751719.00 0.0077 7.5013
25 627.84 1906727.00 1827474.00 0.0051 7.5962
26 653.61 1986051.00 1903387.00 0.0116 7.7808
27 679.45 2065545.00 1979407.00 0.0065 7.6906
28 705.46 2144867.00 2055311.00 0.0097 7.2510
29 731.21 2223850.00 2130985.00 0.0106 7.6837
30 757.20 2303037.00 2206877.00 0.0077 7.7973
31 783.38 2382418.00 2282853.00 0.0049 7.7914
32 809.14 2461938.00 2358914.00 0.0026 7.6989
33 834.58 2541352.00 2434916.00 0.0049 7.7245
34 860.03 2620852.00 2511001.00 0.0114 7.8345
35 885.88 2700367.00 2586999.00 0.0033 7.9200
36 911.90 2779894.00 2662948.00 0.0032 7.9627
37 937.79 2859423.00 2739026.00 0.0108 7.6086
38 963.74 2938859.00 2815032.00 0.0096 8.2200
39 989.26 3018245.00 2890988.00 0.0019 8.2283
40 1015.02 3097707.00 2967007.00 0.0059 8.3613
41 1041.24 3177554.00 3043235.00 0.0042 8.4710
42 1067.10 3257205.00 3119334.00 0.0096 8.2284
43 1092.79 3336709.00 3195351.00 0.0050 8.4398
44 1118.51 3416269.00 3271474.00 0.0072 8.0782
45 1144.11 3495542.00 3347261.00 0.0066 8.2846
46 1169.85 3574878.00 3423065.00 0.0054 7.9916
47 1195.31 3654048.00 3498897.00 0.0089 8.3335
48 1220.82 3733182.00 3574668.00 0.0128 7.8985
49 1246.22 3812106.00 3650280.00 0.0053 8.3258
50 1272.34 3891330.00 3726112.00 0.0052 8.7450
51 1298.35 3970744.00 3802151.00 0.0082 8.3165
52 1324.06 4050256.00 3878188.00 0.0080 8.4072
53 1349.79 4128938.00 3953653.00 0.0049 8.1820
54 1375.28 4208034.00 4029408.00 0.0045 8.5399
55 1401.03 4287334.00 4105322.00 0.0091 8.3931
56 1426.50 4367140.00 4181591.00 0.0049 8.6189
57 1453.20 4446528.00 4257487.00 0.0116 8.1099
58 1478.87 4525937.00 4333426.00 0.0061 8.1535
59 1504.55 4605108.00 4409224.00 0.0097 8.4142
60 1530.91 4684175.00 4484986.00 0.0063 8.5791
61 1556.35 4763531.00 4560978.00 0.0093 8.5117
62 1581.82 4842969.00 4637025.00 0.0078 8.8187
63 1607.79 4922473.00 4713088.00 0.0055 8.7036
64 1633.39 5001887.00 4789099.00 0.0039 8.5204
65 1658.88 5081317.00 4865136.00 0.0104 8.6025
66 1684.50 5160810.00 4941172.00 0.0081 8.7680
67 1710.22 5240243.00 5017198.00 0.0051 8.9284
68 1735.76 5319690.00 5093194.00 0.0051 8.8875
69 1761.30 5398634.00 5168818.00 0.0035 9.0706
70 1787.33 5477399.00 5244299.00 0.0061 8.9756
71 1813.00 5556074.00 5319687.00 0.0056 8.7538
72 1839.01 5634993.00 5395268.00 0.0058 8.6032
73 1864.61 5713926.00 5470819.00 0.0041 9.1328
74 1890.07 5793023.00 5546494.00 0.0058 8.9833
75 1915.74 5871859.00 5622022.00 0.0134 8.5960
76 1941.38 5950607.00 5697471.00 0.0075 8.7055
77 1966.54 6029446.00 5772975.00 0.0046 9.0804
78 1992.20 6108587.00 5848745.00 0.0057 8.6688
79 2017.87 6187536.00 5924331.00 0.0051 8.9534
80 2044.07 6266471.00 5999965.00 0.0091 8.8263
81 2069.76 6346180.00 6076092.00 0.0066 9.0580
82 2095.29 6425424.00 6151816.00 0.0131 8.3910
83 2121.20 6504220.00 6227332.00 0.0065 8.8374
84 2147.19 6583473.00 6303185.00 0.0084 8.9215
85 2172.52 6662897.00 6379202.00 0.0058 9.1964
86 2198.35 6742603.00 6455331.00 0.0076 9.1560
87 2224.09 6821864.00 6531246.00 0.0046 9.1414
88 2249.84 6901470.00 6607318.00 0.0079 8.9977
89 2276.22 6980868.00 6683158.00 0.0083 8.8063
90 2301.78 7060351.00 6759225.00 0.0075 9.0827
91 2327.31 7139194.00 6834816.00 0.0053 9.4654
92 2352.75 7218499.00 6910765.00 0.0074 9.5120
93 2378.54 7297680.00 6986611.00 0.0053 9.3902
94 2404.60 7376393.00 7062065.00 0.0047 9.5831
95 2430.82 7454938.00 7137385.00 0.0055 9.5887
96 2456.50 7534278.00 7213342.00 0.0042 9.6862
97 2481.85 7613663.00 7289346.00 0.0081 9.2122
