{'model_type': 'CNN', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.01, 'decay_rate': 0.0001, 'min_lr': 0.005, 'epoch': 250, 'momentum': 0.09, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 7.01 2315.00 4348.00 0.0005 5.3989
2 32.99 81579.00 80196.00 0.0000 5.5555
3 59.22 160841.00 156048.00 0.0001 5.5958
4 85.47 239755.00 231662.00 0.0002 5.5973
5 112.00 318803.00 307386.00 0.0007 5.5912
6 138.06 398046.00 383260.00 0.0300 5.4497
7 164.27 477117.00 459027.00 0.0106 5.5319
8 190.54 556480.00 534972.00 0.0106 5.5593
9 216.73 635608.00 610755.00 0.0235 5.5135
10 244.16 715176.00 686888.00 0.0330 5.5375
11 270.93 794701.00 762998.00 0.0266 5.6209
12 297.83 874048.00 838894.00 0.0037 5.9082
13 324.36 953334.00 914736.00 0.0194 5.8491
14 350.69 1033095.00 990812.00 0.0244 5.8195
15 376.82 1112469.00 1066761.00 0.0192 5.8954
16 403.12 1191858.00 1142691.00 0.0089 5.9878
17 429.31 1271390.00 1218800.00 0.0101 6.1401
18 455.82 1350666.00 1294709.00 0.0056 6.3333
19 482.22 1429762.00 1370432.00 0.0137 6.3538
20 508.51 1509172.00 1446369.00 0.0036 6.5152
21 535.14 1588757.00 1522457.00 0.0217 6.0466
22 560.99 1668190.00 1598455.00 0.0016 6.6365
