{'model_type': 'ResNet', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.0005, 'min_lr': 1e-05, 'epoch': 250, 'momentum': 0.09, 'weight_decay': 0.0005, 'para_nums': 11020864}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 6.09 2405.00 4463.00 0.0000 5.5892
2 23.14 82119.00 80635.00 0.0000 5.5693
3 40.97 161875.00 156823.00 0.0000 5.5509
4 58.15 241482.00 232892.00 0.0000 5.5394
5 75.37 321179.00 309054.00 0.0000 5.5249
6 92.54 400863.00 385170.00 0.0000 5.5096
7 109.83 480608.00 461418.00 0.0000 5.5011
8 127.51 560258.00 537529.00 0.0000 5.4881
9 145.21 639754.00 613513.00 0.0000 5.4781
10 163.12 718574.00 689011.00 0.0000 5.4702
11 181.32 798453.00 765360.00 0.0000 5.4621
12 198.99 878131.00 841512.00 0.0000 5.4523
13 216.91 957726.00 917588.00 0.0000 5.4439
14 234.68 1037484.00 993772.00 0.0000 5.4347
15 252.41 1117205.00 1069915.00 0.0000 5.4279
16 269.83 1197399.00 1146278.00 0.0000 5.4223
17 287.25 1276838.00 1222245.00 0.0000 5.4154
18 305.01 1356243.00 1298142.00 0.0000 5.4088
19 322.30 1435609.00 1374049.00 0.0000 5.4066
20 339.87 1515360.00 1450193.00 0.0000 5.3991
21 358.03 1595049.00 1526331.00 0.0000 5.3918
22 375.31 1674720.00 1602443.00 0.0000 5.3853
23 393.34 1754402.00 1678546.00 0.0000 5.3762
24 411.45 1834084.00 1754662.00 0.0000 5.3719
25 429.13 1913424.00 1830641.00 0.0000 5.3683
26 446.58 1993285.00 1906803.00 0.0000 5.3629
27 464.21 2072853.00 1982840.00 0.0000 5.3604
28 481.79 2152477.00 2058928.00 0.0000 5.3557
29 499.36 2232020.00 2134963.00 0.0000 5.3515
30 516.64 2311465.00 2210977.00 0.0000 5.3463
31 533.89 2391040.00 2287136.00 0.0000 5.3411
32 551.20 2470612.00 2363201.00 0.0000 5.3364
33 569.11 2550253.00 2439285.00 0.0000 5.3336
34 586.47 2629877.00 2515410.00 0.0000 5.3273
35 603.49 2709605.00 2591594.00 0.0000 5.3241
36 620.96 2789189.00 2667689.00 0.0000 5.3231
37 638.39 2868873.00 2743791.00 0.0000 5.3179
38 655.37 2948434.00 2819834.00 0.0000 5.3141
39 672.75 3027811.00 2895795.00 0.0000 5.3123
40 689.90 3107448.00 2971726.00 0.0000 5.3102
41 707.53 3186844.00 3047642.00 0.0000 5.3090
42 724.66 3266432.00 3123710.00 0.0000 5.3066
43 741.89 3345979.00 3199755.00 0.0000 5.3010
44 759.34 3425298.00 3275610.00 0.0000 5.2980
45 776.70 3504970.00 3351729.00 0.0000 5.2995
46 794.29 3584570.00 3427813.00 0.0000 5.2937
47 811.39 3664120.00 3503861.00 0.0000 5.2900
48 828.38 3743660.00 3579852.00 0.0000 5.2863
49 846.12 3823330.00 3655920.00 0.0000 5.2849
50 864.53 3902922.00 3731998.00 0.0000 5.2835
