{'model_type': 'ResNet', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.05, 'decay_rate': 0.993, 'min_lr': 0.0001, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 11168832}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.43 2471.00 4515.00 0.0000 5.5831
2 19.86 81917.00 80572.00 0.0000 5.3008
3 37.34 161898.00 157061.00 0.0008 5.2906
4 54.43 241695.00 233409.00 0.0001 5.8241
5 71.21 321643.00 309867.00 0.0073 5.8771
6 87.75 401321.00 386087.00 0.0006 6.1629
7 104.68 480629.00 462006.00 0.0144 5.9773
8 122.47 560786.00 538281.00 0.0011 6.7788
9 139.59 640709.00 614393.00 0.0002 7.0694
10 157.14 720739.00 690635.00 0.0108 6.4170
11 174.88 800150.00 766707.00 0.0000 8.0278
12 192.31 879827.00 843002.00 0.0055 7.0434
13 209.91 959637.00 919409.00 0.0073 7.3196
14 227.29 1039392.00 995663.00 0.0114 7.4589
15 244.55 1119180.00 1071893.00 0.0058 7.9381
16 262.17 1198881.00 1148001.00 0.0159 7.5458
17 279.60 1278528.00 1224086.00 0.0089 7.5263
18 296.88 1358250.00 1300278.00 0.0149 7.5410
19 314.68 1438472.00 1376636.00 0.0052 8.0521
20 331.94 1518760.00 1453111.00 0.0023 8.5892
21 349.59 1598590.00 1529426.00 0.0131 8.0229
22 366.41 1678248.00 1605652.00 0.0066 8.4401
23 383.34 1757861.00 1681827.00 0.0148 7.7681
24 400.03 1837518.00 1758069.00 0.0111 7.8705
25 417.50 1917177.00 1834293.00 0.0069 8.5541
26 434.42 1996842.00 1910568.00 0.0070 8.2521
27 451.51 2076485.00 1986739.00 0.0032 8.8105
28 468.94 2156137.00 2062891.00 0.0033 9.0734
29 486.09 2235846.00 2139064.00 0.0050 8.8672
30 502.95 2315462.00 2215237.00 0.0057 8.9087
31 520.10 2395191.00 2291550.00 0.0220 8.0216
32 536.53 2474920.00 2367904.00 0.0036 9.1810
33 553.31 2554631.00 2444241.00 0.0115 8.1960
34 570.90 2634241.00 2520472.00 0.0054 8.5422
35 587.96 2713942.00 2596753.00 0.0049 9.2566
36 604.74 2793570.00 2672928.00 0.0053 9.2888
37 621.77 2873286.00 2749141.00 0.0097 8.7958
38 638.68 2953008.00 2825355.00 0.0040 9.3301
39 655.70 3032698.00 2901650.00 0.0023 9.5710
40 673.15 3112379.00 2977982.00 0.0077 9.1045
41 691.25 3192087.00 3054271.00 0.0081 9.0214
42 708.22 3271931.00 3130693.00 0.0132 8.8236
43 725.39 3351646.00 3207004.00 0.0097 9.0987
44 742.60 3431434.00 3283339.00 0.0079 9.2738
45 759.25 3511141.00 3359612.00 0.0087 9.2732
46 775.84 3590867.00 3435918.00 0.0066 9.4293
47 792.60 3670531.00 3512081.00 0.0022 10.0585
48 809.33 3750190.00 3588332.00 0.0066 9.6388
49 826.17 3829839.00 3664554.00 0.0108 8.7313
50 843.09 3909528.00 3740824.00 0.0058 9.7688
51 859.45 3989435.00 3817273.00 0.0037 9.9756
52 875.85 4069403.00 3893721.00 0.0074 9.4790
53 892.48 4149514.00 3970278.00 0.0069 9.6630
54 908.88 4229718.00 4046931.00 0.0077 9.5067
55 925.23 4309673.00 4123361.00 0.0081 9.8023
56 942.40 4389430.00 4199688.00 0.0109 9.4047
57 959.34 4469142.00 4276037.00 0.0055 9.9685
58 976.53 4548764.00 4352202.00 0.0065 9.9825
59 993.55 4628412.00 4428344.00 0.0054 10.2990
60 1010.83 4707949.00 4504484.00 0.0054 10.2237
61 1027.74 4787535.00 4580643.00 0.0049 10.1660
62 1044.89 4867152.00 4656846.00 0.0064 10.1921
63 1061.67 4946912.00 4733185.00 0.0058 10.2263
64 1078.59 5026653.00 4809555.00 0.0053 10.2404
65 1095.52 5106374.00 4885876.00 0.0090 9.7741
66 1112.32 5185946.00 4962064.00 0.0083 9.8129
67 1129.43 5265557.00 5038266.00 0.0067 10.1499
68 1146.22 5345264.00 5114598.00 0.0064 10.0995
69 1162.67 5424940.00 5190854.00 0.0047 10.6687
70 1179.76 5504754.00 5267280.00 0.0053 10.7050
71 1196.70 5584565.00 5343662.00 0.0036 10.9122
72 1214.05 5664291.00 5419995.00 0.0058 10.2569
73 1231.00 5743992.00 5496308.00 0.0054 10.5945
74 1247.96 5823623.00 5572513.00 0.0044 10.7176
75 1264.97 5903259.00 5648703.00 0.0062 10.2232
76 1282.26 5982869.00 5724884.00 0.0067 10.3653
77 1298.91 6062492.00 5801115.00 0.0067 10.2726
78 1316.06 6141410.00 5876726.00 0.0061 10.4436
79 1333.10 6220343.00 5952328.00 0.0075 10.1649
