{'model_type': 'VGG', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.0001, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 2.72 2504.00 4555.00 0.0042 5.2438
2 27.94 81808.00 80413.00 0.0005 5.3702
3 53.48 160888.00 156095.00 0.0152 5.3201
4 78.57 240173.00 231938.00 0.0000 5.6028
5 104.10 319483.00 307778.00 0.0000 5.6396
6 129.19 398705.00 383539.00 0.0099 5.7281
7 154.41 478109.00 459502.00 0.0000 6.0897
8 179.65 557294.00 535292.00 0.0000 6.1208
9 205.16 636574.00 611127.00 0.0059 5.8909
10 230.48 715881.00 687001.00 0.0000 5.9263
11 256.44 795294.00 762994.00 0.0000 6.2985
12 281.99 874653.00 838947.00 0.0009 6.5380
13 307.30 954280.00 915024.00 0.0007 6.5319
14 332.42 1033877.00 991096.00 0.0114 6.8262
15 357.47 1113472.00 1067163.00 0.0021 7.1305
16 382.37 1193135.00 1143269.00 0.0554 6.6090
17 407.38 1272681.00 1219316.00 0.0119 7.0861
18 432.56 1352026.00 1295249.00 0.0006 7.1375
19 457.43 1431499.00 1371291.00 0.0042 7.4115
20 482.40 1511561.00 1447756.00 0.0097 7.1473
21 508.03 1591556.00 1524180.00 0.0102 7.1089
22 533.41 1671166.00 1600339.00 0.0140 7.3852
23 558.53 1750720.00 1676369.00 0.0037 7.7306
24 583.43 1830338.00 1752442.00 0.0059 7.0962
25 608.43 1909842.00 1828487.00 0.0105 7.5145
