{'model_type': 'VGG', 'dataset_type': 'tinyImageNet', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.0001, 'decay_rate': 0.98, 'min_lr': 1e-05, 'epoch': 250, 'momentum': 0.9, 'weight_decay': 0.0005, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 3.29 2507.00 4535.00 0.0084 5.2213
2 28.29 82067.00 80635.00 0.0079 5.2199
3 53.07 161758.00 156764.00 0.0087 5.2183
4 78.28 241246.00 232728.00 0.0081 5.2275
5 103.19 321048.00 308979.00 0.0085 5.2315
6 128.30 400801.00 385146.00 0.0068 5.2352
7 153.54 480566.00 461315.00 0.0076 5.2370
8 178.49 560351.00 537529.00 0.0081 5.2401
9 203.66 639960.00 613714.00 0.0085 5.2457
10 229.01 719613.00 689934.00 0.0073 5.2536
11 254.69 799326.00 766191.00 0.0067 5.2593
12 279.59 878950.00 842302.00 0.0053 5.2594
13 304.65 958595.00 918382.00 0.0055 5.2687
14 329.62 1038248.00 994468.00 0.0079 5.2692
15 354.69 1117914.00 1070563.00 0.0074 5.2708
16 380.04 1197556.00 1146631.00 0.0069 5.2764
17 405.07 1277195.00 1222710.00 0.0049 5.2858
18 430.52 1356841.00 1298797.00 0.0049 5.2854
19 455.49 1435382.00 1374079.00 0.0054 5.2902
20 480.40 1514566.00 1449831.00 0.0053 5.2914
21 505.82 1593869.00 1525670.00 0.0044 5.2952
22 530.51 1673493.00 1601735.00 0.0037 5.2999
23 555.32 1753144.00 1677816.00 0.0054 5.3052
24 580.16 1832789.00 1753896.00 0.0053 5.3037
25 604.86 1912535.00 1830046.00 0.0046 5.3089
26 629.95 1993167.00 1906851.00 0.0045 5.3092
27 654.96 2073668.00 1983553.00 0.0043 5.3136
28 679.80 2153309.00 2059637.00 0.0041 5.3165
29 704.70 2232807.00 2135681.00 0.0049 5.3174
30 729.46 2312308.00 2211783.00 0.0045 5.3237
