{'model_type': 'VGG', 'dataset_type': 'image100', 'batch_size': 64, 'data_pattern': 0, 'lr': 0.1, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 10000, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 14723136}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 18.49 2360.00 4463.00 0.0122 4.6298
2 20.94 4381.00 8503.00 0.0098 4.6528
3 23.32 6424.00 12556.00 0.0116 4.7118
4 25.72 8438.00 16588.00 0.0102 4.7322
5 28.13 10473.00 20635.00 0.0104 4.7706
6 30.57 12500.00 24676.00 0.0084 4.7347
7 33.06 14541.00 28724.00 0.0100 4.8398
8 35.53 16568.00 32765.00 0.0078 4.7199
9 37.86 18603.00 36812.00 0.0100 4.6872
10 40.18 20638.00 40859.00 0.0144 4.6745
11 42.75 22673.00 44906.00 0.0094 4.6624
12 45.20 24708.00 48953.00 0.0112 4.7596
13 47.80 26750.00 53008.00 0.0112 4.6394
14 50.25 28800.00 57069.00 0.0108 4.6354
15 52.72 30838.00 61128.00 0.0136 4.6391
16 55.29 32850.00 65155.00 0.0122 4.6275
17 57.96 34885.00 69202.00 0.0122 4.6239
18 60.61 36920.00 73249.00 0.0152 4.6265
19 63.23 38962.00 77304.00 0.0142 4.6104
20 65.65 41003.00 81352.00 0.0094 4.6129
21 68.09 43038.00 85399.00 0.0114 4.6061
22 70.45 45073.00 89446.00 0.0140 4.6067
23 72.92 47109.00 93500.00 0.0132 4.6230
24 75.44 49138.00 97546.00 0.0132 4.6505
25 78.02 51173.00 101593.00 0.0138 4.6179
26 80.43 53208.00 105640.00 0.0158 4.6022
27 82.95 55243.00 109687.00 0.0182 4.6238
28 85.47 57278.00 113734.00 0.0208 4.6062
29 88.01 59313.00 117781.00 0.0146 4.6053
30 90.37 61348.00 121828.00 0.0168 4.6123
31 92.89 63383.00 125875.00 0.0124 4.6124
32 95.43 65418.00 129922.00 0.0148 4.5926
33 97.78 67453.00 133969.00 0.0128 4.6781
34 100.24 69488.00 138016.00 0.0194 4.6176
35 102.69 71523.00 142063.00 0.0194 4.5984
36 105.20 73558.00 146110.00 0.0202 4.5983
37 107.65 75593.00 150157.00 0.0188 4.6168
38 110.26 77616.00 154202.00 0.0190 4.5900
39 112.76 79651.00 158249.00 0.0192 4.5854
40 115.14 81686.00 162296.00 0.0150 4.6478
41 117.70 83721.00 166343.00 0.0190 4.5904
42 120.24 85756.00 170390.00 0.0128 4.5981
43 122.71 87791.00 174437.00 0.0132 4.5745
44 125.24 89826.00 178484.00 0.0160 4.6349
45 127.78 91861.00 182531.00 0.0174 4.5839
46 130.24 93896.00 186578.00 0.0176 4.5927
47 132.78 95917.00 190618.00 0.0214 4.5747
48 135.33 97952.00 194665.00 0.0216 4.6283
49 137.82 99987.00 198712.00 0.0188 4.5938
50 140.30 102022.00 202759.00 0.0170 4.5718
51 142.69 104057.00 206806.00 0.0204 4.5692
52 145.13 106092.00 210853.00 0.0162 4.6695
53 147.70 108127.00 214900.00 0.0198 4.5824
54 150.08 110162.00 218947.00 0.0234 4.5844
