{'model_type': 'CNN', 'dataset_type': 'FashionMNIST', 'batch_size': 64, 'data_pattern': 4, 'lr': 0.02, 'decay_rate': 0.993, 'min_lr': 0.005, 'epoch': 250, 'momentum': -1, 'weight_decay': 0.0, 'para_nums': 52096}

epoch_idx, total_time, total_bandwith, total_resource, acc, test_loss
1 4.92 3855.00 5726.00 0.1196 4.1164
2 12.38 156300.00 148966.00 0.1502 2.4245
3 19.85 308745.00 292206.00 0.3461 1.9757
4 27.55 461190.00 435446.00 0.4127 1.5573
5 35.04 613635.00 578686.00 0.5208 1.2956
6 42.88 766080.00 721926.00 0.5717 1.1923
7 50.52 918525.00 865166.00 0.6222 1.0614
8 58.18 1070970.00 1008406.00 0.6524 0.9656
9 65.89 1223415.00 1151646.00 0.6549 0.9295
10 73.39 1375860.00 1294886.00 0.6949 0.8519
11 81.07 1528305.00 1438126.00 0.7102 0.8141
12 88.53 1680750.00 1581366.00 0.7090 0.7938
13 96.38 1833195.00 1724606.00 0.7161 0.7603
14 104.06 1985640.00 1867846.00 0.7312 0.7154
15 111.64 2138085.00 2011086.00 0.7322 0.7217
16 119.36 2290530.00 2154326.00 0.7275 0.7045
17 126.90 2442975.00 2297566.00 0.7355 0.7020
18 134.69 2595420.00 2440806.00 0.7348 0.6881
19 142.38 2747865.00 2584046.00 0.7398 0.6740
20 150.27 2900310.00 2727286.00 0.7284 0.6924
21 157.93 3052755.00 2870526.00 0.7515 0.6589
22 165.28 3205200.00 3013766.00 0.7355 0.6638
23 173.21 3357645.00 3157006.00 0.7418 0.6388
24 180.92 3510090.00 3300246.00 0.7303 0.6928
25 188.91 3662535.00 3443486.00 0.7479 0.6338
26 196.27 3814980.00 3586726.00 0.7431 0.6504
27 204.09 3967425.00 3729966.00 0.7464 0.6372
28 211.68 4119870.00 3873206.00 0.7553 0.6146
29 219.28 4272315.00 4016446.00 0.7536 0.6149
30 226.95 4424760.00 4159686.00 0.7473 0.6349
31 234.51 4577205.00 4302926.00 0.7549 0.6225
32 242.27 4729650.00 4446166.00 0.7469 0.6338
33 249.77 4882095.00 4589406.00 0.7609 0.6159
34 257.51 5034540.00 4732646.00 0.7509 0.6089
35 265.00 5186985.00 4875886.00 0.7578 0.6092
36 272.59 5339430.00 5019126.00 0.7651 0.5865
37 280.25 5491875.00 5162366.00 0.7717 0.5985
38 287.94 5644320.00 5305606.00 0.7635 0.5788
39 295.89 5796765.00 5448846.00 0.7790 0.5754
40 303.52 5949210.00 5592086.00 0.7616 0.5959
41 311.27 6101655.00 5735326.00 0.7621 0.5891
42 318.90 6254100.00 5878566.00 0.7683 0.5759
43 326.37 6406545.00 6021806.00 0.7696 0.5689
44 334.22 6558990.00 6165046.00 0.7777 0.5746
45 341.91 6711435.00 6308286.00 0.7893 0.5446
46 349.77 6863880.00 6451526.00 0.7738 0.5627
47 357.41 7016325.00 6594766.00 0.7774 0.5626
48 365.07 7168770.00 6738006.00 0.7833 0.5547
49 372.54 7321215.00 6881246.00 0.7656 0.5811
50 380.24 7473660.00 7024486.00 0.7820 0.5600
51 387.93 7626105.00 7167726.00 0.7876 0.5336
52 395.62 7778550.00 7310966.00 0.7718 0.5521
53 403.50 7930995.00 7454206.00 0.7774 0.5532
54 411.11 8083440.00 7597446.00 0.7927 0.5261
55 418.94 8235885.00 7740686.00 0.7927 0.5195
56 426.82 8388330.00 7883926.00 0.7763 0.5521
57 434.40 8540775.00 8027166.00 0.7646 0.5724
58 442.31 8693220.00 8170406.00 0.7684 0.5591
59 450.11 8845665.00 8313646.00 0.7878 0.5352
60 458.01 8998110.00 8456886.00 0.7823 0.5445
61 465.45 9150555.00 8600126.00 0.7874 0.5251
62 473.20 9303000.00 8743366.00 0.7961 0.5140
63 481.06 9455445.00 8886606.00 0.7826 0.5390
64 488.49 9607890.00 9029846.00 0.7967 0.5115
65 496.32 9760335.00 9173086.00 0.8012 0.5070
66 503.91 9912780.00 9316326.00 0.7808 0.5454
67 511.62 10065225.00 9459566.00 0.7907 0.5191
68 519.15 10217670.00 9602806.00 0.8033 0.5008
69 526.64 10370115.00 9746046.00 0.8003 0.5036
70 534.37 10522560.00 9889286.00 0.7964 0.5120
71 541.82 10675005.00 10032526.00 0.7838 0.5316
72 549.56 10827450.00 10175766.00 0.7907 0.5170
